RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,11530,구로구,10600,고척동,1,대지,0339,0000,고척파크푸르지오,2025-03-31,85000,59.89,0.0,7.0,,,2009,아파트,중개거래,"서울 구로구, 서울 양천구"
2025,11350,노원구,10500,상계동,1,대지,0720,0000,상계주공6(고층),2025-03-31,44000,38.0,0.0,7.0,,,1988,아파트,중개거래,서울 노원구
2025,11110,종로구,13300,익선동,1,대지,0034,0000,BIZ-WELL 종로 오피스텔,2025-03-31,12400,17.2,24.82,7.0,,,2004,오피스텔,중개거래,서울 종로구
2025,11350,노원구,10400,하계동,1,대지,0274,0000,청솔(시영7),2025-03-31,35000,39.78,0.0,6.0,,,1989,아파트,직거래,
2025,11710,송파구,11300,거여동,1,대지,0604,0003,APICE,2025-03-31,69597,59.856,91.027,15.0,,,2023,오피스텔,중개거래,경기 하남시
2025,11500,강서구,10200,등촌동,1,대지,0635,0005,대외그랜드오피스텔,2025-03-31,8900,32.64,42.63,5.0,,,2003,오피스텔,중개거래,서울 강서구
2025,11110,종로구,18100,행촌동,1,대지,0001,0011,광영주택,2025-03-31,20500,44.44,15.0,-1.0,,,1999,연립다세대,직거래,
2025,11290,성북구,13300,정릉동,1,대지,1015,0000,길음뉴타운경남아너스빌,2025-03-31,59000,59.59,0.0,8.0,,,1999,아파트,중개거래,서울 성북구
2025,11305,강북구,10300,수유동,1,대지,0269,0012,경모빌라트9차,2025-03-31,23000,71.58,31.0,5.0,,,2002,연립다세대,직거래,
2025,11230,동대문구,11000,이문동,1,대지,0064,0000,쌍용,2025-03-31,69200,59.99,0.0,6.0,,,2000,아파트,중개거래,서울 동대문구
2025,11620,관악구,10100,봉천동,1,대지,1717,0000,관악푸르지오,2025-03-31,80500,59.58,0.0,16.0,,,2004,아파트,중개거래,서울 관악구
2025,11440,마포구,12300,망원동,1,대지,0503,0000,현진에버빌2,2025-03-31,73000,83.654,0.0,6.0,,,2003,아파트,직거래,
2025,11740,강동구,10900,천호동,1,대지,0423,0200,강동 밀레니얼 중흥S-클래스,2025-03-31,113688,214.805,0.0,10.0,분양권,,0,아파트,중개거래,서울 강동구
2025,11500,강서구,10900,방화동,1,대지,0552,0008,성지주택나동,2025-03-31,9300,41.18,204.0,-1.0,,,1986,연립다세대,중개거래,서울 강서구
2025,11530,구로구,10600,고척동,1,대지,0339,0000,고척파크푸르지오,2025-03-31,85000,59.89,0.0,7.0,,20250401,2009,아파트,중개거래,"서울 구로구, 서울 양천구"
2025,11530,구로구,10700,개봉동,1,대지,0323,0009,부원빌라(323-9),2025-03-31,22000,61.47,29.0,4.0,,,2003,연립다세대,중개거래,서울 구로구
2025,11110,종로구,18100,행촌동,1,대지,0210,0345,(210-345),2025-03-31,25000,50.73,19.0,4.0,,,1996,연립다세대,중개거래,서울 종로구
2025,11500,강서구,10300,화곡동,1,대지,0046,0152,다울빌라,2025-03-31,16000,51.1,32.0,4.0,,,1997,연립다세대,중개거래,서울 양천구
2025,11200,성동구,10200,하왕십리동,1,대지,1078,0000,왕십리센트럴,2025-03-31,69500,38.06,29.0,6.0,,,2023,연립다세대,직거래,
2025,11380,은평구,10700,응암동,1,대지,0122,0007,다원,2025-03-31,59000,84.86,0.0,5.0,,,2006,아파트,중개거래,서울 은평구
2025,11215,광진구,10100,중곡동,1,대지,0018,0106,블리체,2025-03-31,35000,29.0,16.0,4.0,,,2017,연립다세대,중개거래,서울 광진구
2025,11440,마포구,12200,합정동,1,대지,0433,0033,진흥빌(433-33),2025-03-31,30500,29.38,17.0,4.0,,,2010,연립다세대,직거래,
2025,11710,송파구,11200,오금동,1,대지,0046,0008,정한빌라,2025-03-31,27500,47.07,23.0,2.0,,,1995,연립다세대,직거래,
2025,11500,강서구,10300,화곡동,1,대지,0371,0043,인터시티,2025-03-31,28300,54.85,32.0,3.0,,,2011,연립다세대,중개거래,서울 강서구
2025,11350,노원구,10300,공릉동,1,대지,0727,0000,풍림아파트B,2025-03-31,28800,31.32,0.0,3.0,,,2001,아파트,중개거래,서울 노원구
2025,11650,서초구,10800,서초동,1,대지,1638,0002,아이리스서초,2025-03-31,44500,27.83,16.0,6.0,,,2018,연립다세대,중개거래,서울 서초구
2025,11470,양천구,10100,신정동,1,대지,0312,0000,목동신시가지9,2025-03-31,256000,126.02,0.0,4.0,,,1987,아파트,중개거래,서울 양천구
2025,11305,강북구,10200,번동,1,대지,0416,0045,장수하이트6차,2025-03-31,24000,80.94,42.0,2.0,,,1997,연립다세대,직거래,
2025,11560,영등포구,11400,당산동4가,1,대지,0030,0001,당산현대5차,2025-03-31,128000,84.69,0.0,2.0,,,2000,아파트,중개거래,서울 영등포구
2025,11440,마포구,10100,아현동,1,대지,0777,0000,마포래미안푸르지오1단지,2025-03-31,170000,59.945,0.0,16.0,,,2014,아파트,중개거래,서울 마포구
2025,11140,중구,16200,신당동,1,대지,0843,0000,삼성,2025-03-31,129800,114.91,0.0,17.0,,,1999,아파트,중개거래,서울 중구
2025,11500,강서구,10300,화곡동,1,대지,0105,0477,명성아트맨션,2025-03-31,8500,28.95,20.0,-1.0,,,1991,연립다세대,직거래,
2025,11110,종로구,15500,관수동,1,대지,0098,0001,하이뷰디아트,2025-03-31,24500,14.85,3.0,13.0,,,2020,연립다세대,직거래,
2025,11350,노원구,10500,상계동,1,대지,1389,0022,토담그린빌라(1389-22),2025-03-31,23400,41.41,24.0,1.0,,,1993,연립다세대,중개거래,서울 노원구
2025,11740,강동구,10500,길동,1,대지,0416,0017,다성이즈빌,2025-03-31,33000,26.27,0.0,17.0,,,null,아파트,중개거래,서울 강동구
2025,11215,광진구,10100,중곡동,1,대지,0544,0006,서령하이빌(544-6),2025-03-31,20000,37.48,19.0,3.0,,,2002,연립다세대,중개거래,서울 중랑구
2025,11560,영등포구,11500,당산동5가,1,대지,0009,0002,당산 삼성쉐르빌,2025-03-31,19200,23.11,34.54,15.0,,,2013,오피스텔,중개거래,서울 영등포구
2025,11440,마포구,12300,망원동,1,대지,0506,0000,탑건진선미,2025-03-31,100000,84.95,0.0,6.0,,,2004,아파트,중개거래,서울 마포구
2025,11320,도봉구,10800,도봉동,1,대지,0062,0003,도봉 투웨니퍼스트 1단지,2025-03-31,18700,29.66,38.77,14.0,,,2017,오피스텔,중개거래,서울 도봉구
2025,11440,마포구,10900,염리동,1,대지,0520,0000,염리삼성래미안,2025-03-31,117000,59.52,0.0,3.0,,,2001,아파트,중개거래,서울 마포구
2025,11530,구로구,10200,구로동,1,대지,0685,0223,주공2,2025-03-31,37000,32.39,0.0,9.0,,,1987,아파트,직거래,
2025,11620,관악구,10200,신림동,1,대지,0095,0079,영동빌라(95-79),2025-03-31,35000,79.54,35.0,3.0,,,2000,연립다세대,직거래,
2025,11410,서대문구,11800,홍은동,1,대지,0277,0200,크로버빌라-가동,2025-03-31,23700,41.1,25.0,2.0,,,1988,연립다세대,직거래,
